blok,hucre_id,seed_key_hucre,kol,k_true,rho_hedef,sigma,gurultu,rho_max,theta_min,ratio,verdict,rho_mean,d_eff,siniflar,phi,n_per_cluster,kume_boyutlari,sigma_vektoru,atama_id,aykiri_n,aykiri_sigma,jitter,cinsiyet,prototip_set_id,prototip_hash
A_harita,81,81,P_konum,4,r062,0.1,ar1_097,0.615,52.1,9.12,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,82,82,P_konum,4,r062,0.2,beyaz,0.615,52.1,4.61,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,83,83,P_konum,4,r062,0.2,ar1_097,0.615,52.1,4.61,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,84,84,P_konum,4,r062,0.3,beyaz,0.615,52.1,3.12,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,85,85,P_konum,4,r062,0.3,ar1_097,0.615,52.1,3.12,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,86,86,P_konum,4,r062,0.4,beyaz,0.615,52.1,2.39,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,87,87,P_konum,4,r062,0.4,ar1_097,0.615,52.1,2.39,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,88,88,P_konum,4,r062,0.5,beyaz,0.615,52.1,1.96,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,89,89,P_konum,4,r062,0.5,ar1_097,0.615,52.1,1.96,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,90,90,P_konum,4,r062,0.6,beyaz,0.615,52.1,1.68,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,91,91,P_konum,4,r062,0.6,ar1_097,0.615,52.1,1.68,orta,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,92,92,P_konum,4,r062,0.7,beyaz,0.615,52.1,1.49,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,93,93,P_konum,4,r062,0.7,ar1_097,0.615,52.1,1.49,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,94,94,P_konum,4,r062,0.8,beyaz,0.615,52.1,1.35,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,95,95,P_konum,4,r062,0.8,ar1_097,0.615,52.1,1.35,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,96,96,P_konum,4,r062,0.9,beyaz,0.615,52.1,1.24,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,97,97,P_konum,4,r062,0.9,ar1_097,0.615,52.1,1.24,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,98,98,P_konum,4,r062,1.0,beyaz,0.615,52.1,1.16,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
A_harita,99,99,P_konum,4,r062,1.0,ar1_097,0.615,52.1,1.16,zor,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,0.97,10,,,,0,,0,,,
A_harita,100,100,P_konum,4,r078,0.1,beyaz,0.765,40.1,7.03,kolay,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,101,101,P_konum,4,r078,0.1,ar1_097,0.765,40.1,7.03,kolay,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,102,102,P_konum,4,r078,0.2,beyaz,0.765,40.1,3.55,kolay,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,103,103,P_konum,4,r078,0.2,ar1_097,0.765,40.1,3.55,kolay,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,104,104,P_konum,4,r078,0.3,beyaz,0.765,40.1,2.4,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,105,105,P_konum,4,r078,0.3,ar1_097,0.765,40.1,2.4,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,106,106,P_konum,4,r078,0.4,beyaz,0.765,40.1,1.84,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,107,107,P_konum,4,r078,0.4,ar1_097,0.765,40.1,1.84,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,108,108,P_konum,4,r078,0.5,beyaz,0.765,40.1,1.51,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,109,109,P_konum,4,r078,0.5,ar1_097,0.765,40.1,1.51,orta,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,110,110,P_konum,4,r078,0.6,beyaz,0.765,40.1,1.3,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,111,111,P_konum,4,r078,0.6,ar1_097,0.765,40.1,1.3,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,112,112,P_konum,4,r078,0.7,beyaz,0.765,40.1,1.15,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,113,113,P_konum,4,r078,0.7,ar1_097,0.765,40.1,1.15,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,114,114,P_konum,4,r078,0.8,beyaz,0.765,40.1,1.04,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,115,115,P_konum,4,r078,0.8,ar1_097,0.765,40.1,1.04,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,116,116,P_konum,4,r078,0.9,beyaz,0.765,40.1,0.96,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,117,117,P_konum,4,r078,0.9,ar1_097,0.765,40.1,0.96,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,118,118,P_konum,4,r078,1.0,beyaz,0.765,40.1,0.89,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,,10,,,,0,,0,,,
A_harita,119,119,P_konum,4,r078,1.0,ar1_097,0.765,40.1,0.89,zor,0.48,2.03,peak@1943w15 | peak@1949w15 | peak@1955w15 | peak@1961w15,0.97,10,,,,0,,0,,,
A_harita,120,120,P_konum,5,r045,0.1,beyaz,0.456,62.9,11.01,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,121,121,P_konum,5,r045,0.1,ar1_097,0.456,62.9,11.01,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,122,122,P_konum,5,r045,0.2,beyaz,0.456,62.9,5.56,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,123,123,P_konum,5,r045,0.2,ar1_097,0.456,62.9,5.56,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,124,124,P_konum,5,r045,0.3,beyaz,0.456,62.9,3.77,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,125,125,P_konum,5,r045,0.3,ar1_097,0.456,62.9,3.77,kolay,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,126,126,P_konum,5,r045,0.4,beyaz,0.456,62.9,2.88,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,127,127,P_konum,5,r045,0.4,ar1_097,0.456,62.9,2.88,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,128,128,P_konum,5,r045,0.5,beyaz,0.456,62.9,2.37,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,129,129,P_konum,5,r045,0.5,ar1_097,0.456,62.9,2.37,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,130,130,P_konum,5,r045,0.6,beyaz,0.456,62.9,2.03,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,131,131,P_konum,5,r045,0.6,ar1_097,0.456,62.9,2.03,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,132,132,P_konum,5,r045,0.7,beyaz,0.456,62.9,1.8,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,133,133,P_konum,5,r045,0.7,ar1_097,0.456,62.9,1.8,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
A_harita,134,134,P_konum,5,r045,0.8,beyaz,0.456,62.9,1.63,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,,10,,,,0,,0,,,
A_harita,135,135,P_konum,5,r045,0.8,ar1_097,0.456,62.9,1.63,orta,0.104,3.62,peak@1932w15 | peak@1942w15 | peak@1952w15 | peak@1962w15 | peak@1972w15,0.97,10,,,,0,,0,,,
